chr,start
X,10001
Y,10001
X,20001
Y,20001
X,30001
Y,30001
X,40001
Y,40001
X,50001
Y,50001
X,60001
Y,60001
Y,70001
Y,80001
Y,90001
Y,100001
X,110001
Y,110001
X,120001
Y,120001
X,130001
Y,130001
X,140001
Y,140001
X,150001
Y,150001
Y,160001
X,160001
Y,170001
Y,180001
Y,190001
Y,200001
Y,210001
Y,220001
Y,230001
Y,240001
X,240001
X,250001
Y,250001
X,260001
Y,260001
X,270001
Y,270001
X,280001
Y,280001
Y,290001
Y,300001
Y,310001
Y,320001
Y,330001
Y,340001
Y,350001
Y,360001
Y,370001
Y,380001
Y,390001
Y,400001
Y,410001
Y,420001
Y,430001
Y,440001
Y,450001
Y,460001
Y,470001
Y,480001
Y,490001
Y,500001
Y,510001
Y,520001
Y,530001
Y,540001
Y,550001
Y,560001
Y,570001
Y,580001
Y,590001
Y,600001
Y,610001
Y,620001
Y,630001
Y,640001
Y,650001
Y,660001
Y,670001
Y,680001
Y,690001
Y,700001
Y,710001
Y,720001
Y,730001
Y,740001
Y,750001
Y,760001
Y,770001
Y,780001
Y,790001
Y,800001
Y,810001
Y,820001
Y,830001
Y,840001
Y,850001
Y,860001
Y,870001
Y,880001
Y,890001
Y,900001
Y,910001
Y,920001
Y,930001
Y,940001
Y,950001
Y,960001
Y,970001
Y,980001
Y,990001
Y,1000001
Y,1010001
Y,1020001
Y,1030001
Y,1040001
Y,1050001
X,1050001
X,1060001
Y,1060001
X,1070001
Y,1070001
X,1080001
Y,1080001
X,1090001
Y,1090001
Y,1100001
X,1100001
Y,1110001
Y,1120001
Y,1130001
Y,1140001
X,1140001
X,1150001
Y,1150001
X,1160001
Y,1160001
X,1170001
Y,1170001
X,1180001
Y,1180001
Y,1190001
X,1190001
Y,1200001
X,1200001
Y,1210001
Y,1220001
Y,1230001
Y,1240001
Y,1250001
Y,1260001
Y,1270001
X,1280001
Y,1280001
X,1290001
Y,1290001
X,1300001
Y,1300001
X,1310001
Y,1310001
Y,1320001
Y,1330001
Y,1340001
Y,1350001
Y,1360001
Y,1370001
Y,1380001
Y,1390001
Y,1400001
Y,1410001
Y,1420001
Y,1430001
Y,1440001
Y,1450001
Y,1460001
Y,1470001
Y,1480001
Y,1490001
Y,1500001
Y,1510001
Y,1520001
Y,1530001
Y,1540001
Y,1550001
Y,1560001
Y,1570001
Y,1580001
Y,1590001
Y,1600001
Y,1610001
Y,1620001
Y,1630001
Y,1640001
Y,1650001
Y,1660001
Y,1670001
Y,1680001
Y,1690001
Y,1700001
Y,1710001
Y,1720001
Y,1730001
Y,1740001
Y,1750001
Y,1760001
Y,1770001
Y,1780001
Y,1790001
Y,1800001
Y,1810001
Y,1820001
Y,1830001
Y,1840001
Y,1850001
Y,1860001
Y,1870001
Y,1880001
Y,1890001
Y,1900001
Y,1910001
Y,1920001
Y,1930001
Y,1940001
Y,1950001
Y,1960001
Y,1970001
Y,1980001
Y,1990001
Y,2000001
Y,2010001
Y,2020001
Y,2030001
Y,2040001
Y,2050001
Y,2060001
Y,2070001
X,2080001
Y,2080001
X,2090001
Y,2090001
X,2100001
Y,2100001
X,2110001
Y,2110001
Y,2120001
X,2120001
Y,2130001
Y,2140001
Y,2150001
Y,2160001
Y,2170001
Y,2180001
Y,2190001
Y,2200001
Y,2210001
Y,2220001
Y,2230001
Y,2240001
Y,2250001
Y,2260001
Y,2270001
Y,2280001
Y,2290001
Y,2300001
Y,2310001
Y,2320001
Y,2330001
Y,2340001
Y,2350001
Y,2360001
Y,2370001
Y,2380001
Y,2390001
Y,2400001
Y,2410001
Y,2420001
Y,2430001
Y,2440001
Y,2450001
Y,2460001
Y,2470001
Y,2480001
Y,2490001
Y,2500001
Y,2510001
Y,2520001
Y,2530001
Y,2540001
Y,2550001
Y,2560001
Y,2570001
Y,2580001
Y,2590001
Y,2600001
Y,2610001
Y,2620001
Y,2630001
Y,2640001
Y,2650001
Y,2660001
Y,2670001
Y,2680001
Y,2690001
Y,2700001
Y,2710001
Y,2720001
Y,2730001
Y,2740001
Y,2750001
Y,2760001
Y,2770001
Y,2780001
Y,2790001
Y,2800001
Y,2810001
Y,2820001
Y,2830001
Y,2840001
Y,2850001
Y,2860001
Y,2870001
Y,2880001
Y,2890001
Y,2900001
Y,2910001
Y,2920001
Y,2930001
Y,2940001
Y,2950001
Y,2960001
Y,2970001
Y,2980001
Y,2990001
Y,3000001
Y,3010001
Y,3020001
Y,3030001
Y,3040001
Y,3050001
Y,3060001
Y,3070001
Y,3080001
Y,3090001
Y,3100001
Y,3110001
Y,3120001
Y,3130001
Y,3140001
Y,3150001
Y,3160001
Y,3170001
Y,3180001
Y,3190001
Y,3200001
Y,3210001
Y,3220001
Y,3230001
Y,3240001
Y,3250001
Y,3260001
Y,3270001
Y,3280001
Y,3290001
Y,3300001
Y,3310001
Y,3320001
Y,3330001
Y,3340001
Y,3350001
Y,3360001
Y,3370001
Y,3380001
Y,3390001
Y,3400001
Y,3410001
Y,3420001
Y,3430001
Y,3440001
Y,3450001
Y,3460001
Y,3470001
Y,3480001
Y,3490001
Y,3500001
Y,3510001
Y,3520001
Y,3530001
Y,3540001
Y,3550001
Y,3560001
Y,3570001
Y,3580001
Y,3590001
Y,3600001
Y,3610001
Y,3620001
Y,3630001
Y,3640001
Y,3650001
Y,3660001
Y,3670001
Y,3680001
Y,3690001
Y,3700001
Y,3710001
Y,3730001
Y,3740001
Y,3750001
Y,3760001
Y,3770001
Y,3780001
X,3780001
X,3790001
Y,3790001
Y,3800001
X,3800001
Y,3810001
Y,3820001
X,3830001
Y,3840001
Y,3850001
Y,3860001
Y,3870001
Y,3880001
Y,3890001
Y,3900001
Y,3910001
Y,3920001
Y,3930001
Y,3940001
Y,3950001
Y,3960001
